domain,group,betweeness centrality_std_cor,betweeness centrality_average_cor,degree_std_cor,degree_average_cor,closeness centrality_std_cor,closeness centrality_average_cor
Ethnic group-2,us,0.005766541306392,0.8400645892516737,0.0027679277739064,0.9288565201822946,0.0149608076045474,0.8778513918434772
Ethnobiology-2,cn,0.5,0.5,0.5,0.5,0.5,0.5
Ethnobiology-2,us,0.3695425239643559,0.7111420061865831,0.381600637837034,0.7345793079402535,0.3565609272115724,0.6392034041372854
Ethnocentrism-2,cn,0.5,0.5,0.5,0.5,0.5,0.5
Ethnocentrism-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethnography-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
Ethnography-2,us,0.4145465800541947,0.506403925781201,0.3823998944284471,0.3851697960152733,0.4862745273306124,0.5955216845146352
Ethnomathematics-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethnomethodology-2,cn,,,,,,
Ethnomethodology-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethogram-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethology-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethology-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Ethos-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethos-2,us,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Ethyl Chloride-2,us,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666
Ethyl acetate-2,cn,0.0183401607232711,0.8676733825946051,0.0120969069018431,0.9436788627973168,0.0591967414267136,0.7294814029116723
Ethyl bromoacetate-2,cn,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666
Ethyl bromoacetate-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Ethyl chloroformate-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Ethyl chloroformate-2,us,0.4330127018922193,0.75,0.4330127018922193,0.75,0.4330127018922193,0.75
Ethyl ester-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Ethyl ester-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Ethyl formate-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Ethyl formate-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Ethyl iodide-2,us,0.1150561982411324,0.9186429820061514,0.0036973474442889,0.9973855805497406,0.0036973474442889,0.9973855805497406
Ethylamine-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Ethylamine-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethylene diamine-2,cn,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Ethylene diamine-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Ethylene glycol-2,cn,0.0139502667821654,0.8523693798123573,0.0078794402838882,0.9240966651953711,0.0078462913213573,0.9078636569392332
Ethylene glycol-2,us,0.0466342048551082,0.8509663526156658,0.0222201396951801,0.9380858734607372,0.3127939309115413,0.6802717251826811
Ethylenediamine-2,cn,0.0403265635129373,0.8484721021403688,0.005285685700392,0.94430784172612,0.0522948955312434,0.8358975638028283
Ethylenediamine-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Etiology-2,cn,0.0244833079209476,0.8359749207643421,0.011188007032068,0.9430623893377152,0.0182432721137357,0.8592355179202084
